"region","acq_date","avg_brightness"
"New South Wales",2019-08-02,303.55
"New South Wales",2019-08-03,301.3
"New South Wales",2019-08-05,330
"New South Wales",2019-08-06,316.588888888889
"New South Wales",2019-08-09,307.55
"New South Wales",2019-08-10,301.7
"New South Wales",2019-08-11,304.6
"New South Wales",2019-08-12,305
"New South Wales",2019-08-13,324.92
"New South Wales",2019-08-15,303
"New South Wales",2019-08-16,303.7
"New South Wales",2019-08-17,304.14
"New South Wales",2019-08-18,321.133333333333
"New South Wales",2019-08-19,322.433333333333
"New South Wales",2019-08-20,314.966666666667
"New South Wales",2019-08-21,315.6875
"New South Wales",2019-08-22,308.433333333333
"New South Wales",2019-08-23,307.657142857143
"New South Wales",2019-08-24,305.28
"New South Wales",2019-08-25,320.466666666667
"New South Wales",2019-08-26,304.9
"New South Wales",2019-08-27,309.492307692308
"New South Wales",2019-08-28,310.8
"New South Wales",2019-08-29,312.3
"New South Wales",2019-08-30,310.9
"New South Wales",2019-08-31,317.485714285714
"New South Wales",2019-09-01,315.488888888889
"New South Wales",2019-09-02,318.76
"New South Wales",2019-09-03,319.986956521739
"New South Wales",2019-09-04,316.45
"New South Wales",2019-09-05,332.7
"New South Wales",2019-09-07,352.7
"New South Wales",2019-09-08,302.4
"New South Wales",2019-09-09,304.6
"New South Wales",2019-09-10,305.483333333333
"New South Wales",2019-09-11,311.042857142857
"New South Wales",2019-09-12,305.25
"New South Wales",2019-09-13,301.65
"New South Wales",2019-09-14,311.85
"New South Wales",2019-09-17,313.0625
"New South Wales",2019-09-18,308.725
"New South Wales",2019-09-19,324.1
"New South Wales",2019-09-22,304.35
"New South Wales",2019-09-26,309.083333333333
"New South Wales",2019-09-28,307.933333333333
"New South Wales",2019-09-29,303.65
"New South Wales",2019-09-30,307.425
"Northern Territory",2019-08-01,326.195698924731
"Northern Territory",2019-08-02,323.005917159763
"Northern Territory",2019-08-03,329.383695652174
"Northern Territory",2019-08-04,323.49367816092
"Northern Territory",2019-08-05,323.645569620253
"Northern Territory",2019-08-06,328.405213270142
"Northern Territory",2019-08-07,329.094674556213
"Northern Territory",2019-08-08,322.7475
"Northern Territory",2019-08-09,328.304615384615
"Northern Territory",2019-08-10,324.434285714286
"Northern Territory",2019-08-11,325.222175732218
"Northern Territory",2019-08-12,334.357894736842
"Northern Territory",2019-08-13,322.018881118881
"Northern Territory",2019-08-14,329.069014084507
"Northern Territory",2019-08-15,320.083673469388
"Northern Territory",2019-08-16,338.785714285714
"Northern Territory",2019-08-17,324.613793103448
"Northern Territory",2019-08-18,327.528
"Northern Territory",2019-08-19,326.964942528736
"Northern Territory",2019-08-20,325.104867256637
"Northern Territory",2019-08-21,331.415533980583
"Northern Territory",2019-08-22,335.186013986014
"Northern Territory",2019-08-23,333.234736842105
"Northern Territory",2019-08-24,327.146428571429
"Northern Territory",2019-08-25,332.733333333333
"Northern Territory",2019-08-26,322.330769230769
"Northern Territory",2019-08-27,329.543939393939
"Northern Territory",2019-08-28,331.302777777778
"Northern Territory",2019-08-29,331.507042253521
"Northern Territory",2019-08-30,332.414814814815
"Northern Territory",2019-08-31,327.137777777778
"Northern Territory",2019-09-01,332.779220779221
"Northern Territory",2019-09-02,327.216326530612
"Northern Territory",2019-09-03,331.627272727273
"Northern Territory",2019-09-04,330.813043478261
"Northern Territory",2019-09-05,332.6
"Northern Territory",2019-09-06,324.6
"Northern Territory",2019-09-07,329.857142857143
"Northern Territory",2019-09-08,342.23137254902
