"region","acq_date","avg_brightness","avg_frp"
"New South Wales","2019-08-02",303.55,12.35
"New South Wales","2019-08-03",301.3,8.8
"New South Wales","2019-08-05",330,50.5
"New South Wales","2019-08-06",316.588888888889,52.4
"New South Wales","2019-08-09",307.55,10.75
"New South Wales","2019-08-10",301.7,7.4
"New South Wales","2019-08-11",304.6,8.96666666666667
"New South Wales","2019-08-12",305,12.5
"New South Wales","2019-08-13",324.92,38.5
"New South Wales","2019-08-15",303,14.3
"New South Wales","2019-08-16",303.7,6
"New South Wales","2019-08-17",304.14,15.42
"New South Wales","2019-08-18",321.133333333333,36.7666666666667
"New South Wales","2019-08-19",322.433333333333,35.4
"New South Wales","2019-08-20",314.966666666667,15.2333333333333
"New South Wales","2019-08-21",315.6875,73.99375
"New South Wales","2019-08-22",308.433333333333,15.9833333333333
"New South Wales","2019-08-23",307.657142857143,10.4
"New South Wales","2019-08-24",305.28,17.44
"New South Wales","2019-08-25",320.466666666667,48.2
"New South Wales","2019-08-26",304.9,17.6
"New South Wales","2019-08-27",309.492307692308,11.2307692307692
"New South Wales","2019-08-28",310.8,14.7
"New South Wales","2019-08-29",312.3,17.2833333333333
"New South Wales","2019-08-30",310.9,19.12
"New South Wales","2019-08-31",317.485714285714,41.3571428571429
"New South Wales","2019-09-01",315.488888888889,24.8444444444444
"New South Wales","2019-09-02",318.76,64.64
"New South Wales","2019-09-03",319.986956521739,19.7304347826087
"New South Wales","2019-09-04",316.45,22
"New South Wales","2019-09-05",332.7,63.6
"New South Wales","2019-09-07",352.7,85.2
"New South Wales","2019-09-08",302.4,8.4
"New South Wales","2019-09-09",304.6,6.1
"New South Wales","2019-09-10",305.483333333333,7.88333333333333
"New South Wales","2019-09-11",311.042857142857,23.0857142857143
"New South Wales","2019-09-12",305.25,8.45
"New South Wales","2019-09-13",301.65,10.75
"New South Wales","2019-09-14",311.85,14.3166666666667
"New South Wales","2019-09-17",313.0625,11.65
"New South Wales","2019-09-18",308.725,15.95
"New South Wales","2019-09-19",324.1,57.15
"New South Wales","2019-09-22",304.35,5.65
"New South Wales","2019-09-26",309.083333333333,10.6
"New South Wales","2019-09-28",307.933333333333,13.9
"New South Wales","2019-09-29",303.65,17.05
"New South Wales","2019-09-30",307.425,10.575
"Northern Territory","2019-08-01",326.195698924731,42.0086021505376
"Northern Territory","2019-08-02",323.005917159763,25.8792899408284
"Northern Territory","2019-08-03",329.383695652174,33.4467391304348
"Northern Territory","2019-08-04",323.49367816092,37.8988505747126
"Northern Territory","2019-08-05",323.645569620253,26.1443037974684
"Northern Territory","2019-08-06",328.405213270142,62.6270142180095
"Northern Territory","2019-08-07",329.094674556213,52.7076923076923
"Northern Territory","2019-08-08",322.7475,50.90625
"Northern Territory","2019-08-09",328.304615384615,36.5661538461538
"Northern Territory","2019-08-10",324.434285714286,42.1014285714286
"Northern Territory","2019-08-11",325.222175732218,30.7292887029289
"Northern Territory","2019-08-12",334.357894736842,58.8625
"Northern Territory","2019-08-13",322.018881118881,27.113986013986
"Northern Territory","2019-08-14",329.069014084507,37.0760563380282
"Northern Territory","2019-08-15",320.083673469388,35.8448979591837
"Northern Territory","2019-08-16",338.785714285714,68.2378881987578
"Northern Territory","2019-08-17",324.613793103448,33.3379310344828
"Northern Territory","2019-08-18",327.528,39.0072
"Northern Territory","2019-08-19",326.964942528736,76.4890804597701
"Northern Territory","2019-08-20",325.104867256637,36.3774336283186
